random 100
Insertion
0.004200000
0.003600000
0.003300000
0.003300000
0.003300000
0.003400000
0.003300000
0.003300000
0.003300000
0.003300000
-------------------------------------------
Selection
0.007700000
0.006800000
0.005000000
0.004600000
0.004600000
0.004600000
0.004600000
0.004600000
0.004600000
0.004700000
-------------------------------------------
Bubble
0.015600000
0.009700000
0.008400000
0.008100000
0.008100000
0.008100000
0.008000000
0.008000000
0.008000000
0.008000000
-------------------------------------------
Merge
0.005300000
0.003500000
0.002900000
0.002800000
0.002800000
0.002900000
0.002900000
0.002900000
0.002900000
0.002900000
-------------------------------------------
Quick
0.003700000
0.002700000
0.001600000
0.001400000
0.001500000
0.001400000
0.001300000
0.001400000
0.001400000
0.001400000
-------------------------------------------
Quick_Random_Pivot
0.005000000
0.003400000
0.004100000
0.003600000
0.002900000
0.002800000
0.003100000
0.003100000
0.003000000
0.003100000
-------------------------------------------
random 500
Insertion
0.097200000
0.105300000
0.096600000
0.096600000
0.096500000
0.096500000
0.096300000
0.096500000
0.096500000
0.096400000
-------------------------------------------
Selection
0.126200000
0.122200000
0.118500000
0.116700000
0.115500000
0.115300000
0.115000000
0.114800000
0.114800000
0.164000000
-------------------------------------------
Bubble
0.250000000
0.229500000
0.218300000
0.216200000
0.215400000
0.217600000
0.212700000
0.236500000
0.211800000
0.211800000
-------------------------------------------
Merge
0.031300000
0.021300000
0.018500000
0.018000000
0.018000000
0.018000000
0.018000000
0.018000000
0.018000000
0.017900000
-------------------------------------------
Quick
0.020600000
0.012600000
0.009100000
0.008800000
0.008800000
0.008600000
0.008800000
0.008700000
0.008800000
0.008800000
-------------------------------------------
Quick_Random_Pivot
0.030000000
0.024100000
0.022700000
0.021600000
0.022500000
0.019100000
0.017200000
0.016900000
0.021400000
0.018700000
-------------------------------------------
random 1000
Insertion
0.351300000
0.348600000
0.354700000
0.360000000
0.348200000
0.348500000
0.348100000
0.354600000
0.348800000
0.348400000
-------------------------------------------
Selection
0.480600000
0.476400000
0.521500000
0.468700000
0.467900000
0.466800000
0.469700000
0.473400000
0.466400000
0.478800000
-------------------------------------------
Bubble
0.864400000
0.851600000
0.844700000
0.837700000
0.837500000
1.298100000
0.862100000
0.831700000
0.827900000
0.825100000
-------------------------------------------
Merge
0.066900000
0.047300000
0.041100000
0.039700000
0.039300000
0.039300000
0.039200000
0.039200000
0.039200000
0.039300000
-------------------------------------------
Quick
0.046800000
0.037500000
0.022600000
0.019300000
0.018800000
0.018700000
0.018900000
0.018900000
0.018800000
0.018800000
-------------------------------------------
Quick_Random_Pivot
0.062100000
0.049100000
0.043600000
0.045400000
0.041700000
0.036400000
0.035800000
0.035400000
0.035700000
0.035400000
-------------------------------------------
random 5000
Insertion
8.885000000
9.529500000
8.911400000
8.920500000
9.436800000
8.853800000
9.333400000
9.641000000
9.297500000
9.459000000
-------------------------------------------
Selection
11.294800000
11.462300000
11.369500000
11.413500000
11.263700000
11.554300000
11.744000000
11.323700000
11.190800000
11.358700000
-------------------------------------------
Bubble
21.106700000
21.240300000
21.306500000
21.109600000
21.407500000
21.096500000
22.549400000
21.615700000
20.973800000
22.237000000
-------------------------------------------
Merge
0.422400000
0.368500000
0.354100000
0.351600000
0.343000000
0.339200000
0.338900000
0.336100000
0.335300000
0.335
